section,left,p1,,,,,
תקופת השכירות,"המשכיר משכיר בזאת את המושכר בשכירות בלתי מוגנת לשוכר, והשוכר שוכר בזאת את המושכר בשכירות בלתי מוגנת לתקופה בת {מספר-חודשי-השכירות} חודשים החל מיום {תאריך-תחילת-תקופת-השכירות} ועד יום {תאריך-סיום-תקופת-השכירות} (להלן: ""תקופת השכירות"").",,,,,,
תקופת האופציה,"היה והשוכר החליט כי ברצונו להאריך את תקופת השכירות, והמשכיר הסכים על ההארכה בהודעה בכתב עד {מועד-מתן-הודעת-המשכיר-לתקופת אופציה-מעבר-לתקופת-השכירות-הקבועה}, תקופה זו תעמוד על {תקופת-השכירות-שבגדר-אופציה-בידי-השוכר} (להלן: ""תקופת האופציה"").
הוראות הסכם זה תהיינה יפות ותקפות גם בתקופת האופציה.
",,,,,,
תקופת האופציה,"היה והצדדים הגיעו להבנות כי השוכר יממש את תקופת האופציה, המשכיר רשאי להעלות את גובה דמי השכירות עם תחילת תקופת האופציה לסך של {גובה-דמי-השכירות} אלא אם המשכיר הודיע לשוכר כי אין בכוונתו לממש את זכותו להעלאת דמי השכירות כאמור.  ",,,,,,
הצהרות השוכר,"השוכר מצהיר בזאת כי ידוע לו והוא מסכים לקבל את המושכר בשכירות בלתי מוגנת, וזאת בכפוף לאמור להלן:",,,,,,
הצהרות השוכר,"השוכר אינו ולא יהיה דייר מוגן לפי חוק הגנת הדייר (נוסח משולב), התשל""ב-1972 ולא לפי כל חוק או דין אחר; לא תחול עליו כל הגנה מכל סוג ומין שהוא וכל הגנה מההגנות הקנויות לדייר מוגן.",,,,,,
הצהרות השוכר,השוכר לא שילם כל דמי מפתח שהם בתמורה לזכות השכירות במושכר ו/או כל תוספת אחרת למעט דמי השכירות הנקובים בהסכם זה.,,,,,,
הצהרות השוכר,"השוכר מצהיר כי הוא בדק את המושכר ומצא אותו תקין ובמצב המתאים לצרכי מגוריו בו, וזאת לשביעות רצונו. השוכר מוותר בזאת על כל טענה או תביעה שתהיה לו, אם תהיה, ביחס לאי התאמה במושכר.",,,,,,
התמורה,"בתמורה לקבלת זכות השכירות במושכר, השוכר מתחייב לשלם לידי המשכיר סך של {גובה-דמי-השכירות} מדי {היום-לתשלום-שכר-הדירה} לחודש.",,,,,,
התמורה,"השוכר יפקיד {מספר-שיקים-להפקדה-אצל-המשכיר} שיקים ע""ס {הסכום-על כל-שיק} כל אחד להקלה על גביית דמי השכירות.",,,,,,
התמורה,"השוכר מתחייב לשלם את דמי השכירות באופן שוטף, מדויק, מלא ובמועד המצוין בסעיף 5 לעיל.",,,,,,
התמורה,"בנוסף לכל סעד אחר העומד לזכות המשכיר על פי דין, איחור בתשלום כלשהו מדמי השכירות העולה מעל {מספר-ימי-האיחור-המקסימלי-לתשלום-שכר-הדירה-עד-להפקדת-השיק} ימים יוביל לעמידת השיק שברשות המשכיר לפירעון מיידי כנגד אותו חודש נשוא האיחור.",,,,,,
אי עבירות ואי משכון זכות השכירות,"השוכר מתחייב שלא להעביר/להשכיר/למסור/למשכן את זכויותיו על פי הסכם זה (שימוש וחזקה), מקצתם או כולם, לאף צד ג' ושלתת לו להשתמש ו/או ליהנות מזכויותיהם במושכר אלא למטרות אירוח סביר בלבד, למעט לינה יותר מלילה אחד בשבוע אלא אם סוכם אחרת מראש ובכתב. תנאי זה כולל גם בין אם אחת מהפעולות הנ""ל נעשו בין בתמורה ובין שלא בתמורה אלא אם כן הן קיבלו את הסכמת המשכיר מראש ובכתב.",,,,,,
אי עבירות ואי משכון זכות השכירות,"המושכר ישמש אך ורק למטרת מגורים, ועל השוכר לנהוג בו כמנהג בעלים, ולעשות בו שימוש הוגן וסביר, לרבות שמירה על השקט, הניקיון והסדר במושכר ועל כל הכללים הנהוגים מכוח הנוהג במקום.",,,,,,
אי עבירות ואי משכון זכות השכירות,"השוכר מצהיר כי ידוע לו שכל שיפור/שינוי/כל תוספת במושכר שייעשה, במידה שייעשה, יהיה רכוש המשכיר בלבד, והם לא יהיו זכאים לדרוש בחזרה את התוספת/התיקון/תמורתם. 
השוכר מוותר על כל טענה או תביעה שתהיה לו, אם תהיה, כלפי המשכיר ביחס לכל שינוי/תיקון/תוספת כאמור לעיל. 
",,,,,,
תחזוקת המושכר,"השוכר מתחייב לשמור על הדירה והחפצים שמירה מעולה ולתקן ולחזור ולתקן  על חשבונו  ולשביעות רצון  המשכיר או ב""כ כל פגם או ליקוי במושכר כתוצאה משימוש בו על ידו או מי מטעמו מיד עם דרישת  המשכיר או בא  כוחו לכך ו/או מיד עם  התגלות הפגם  או הליקוי,  הכל לפי  המוקדם, למעט בלאי סביר ורגיל שיתהווה כתוצאה משימוש  סביר וזהיר.  השוכר מתחייב להחזיר למשכיר את המושכר מסודר, נקי ובמצב מעולה, למעט בלאי סביר כאמור לעיל.
 
היה והשוכר לא יתקן את הפגם או הליקוי במושכר שנוצר כתוצאה משימוש בו על ידו או מי מטעמו מיד עם דרישת  המשכיר או בא  כוחו לכך ו/או מיד עם  התגלות הפגם  או הליקוי כאמור לעיל, המשכיר רשאי לקזז את נזקיו הקצובים משכר הדירה החודשי כנגד קבלות/חשבוניות מס שימציא המשכיר לשוכר.   
",,,,,,
תחזוקת המושכר,"השוכר מצהיר כי קיבל את המושכר נקי, {תיאור-המושכר} ומתאים למגורים, ובמידה שהמושכר נמסר לידי השוכר כשהוא מסויד - השוכר מתחייב לסיידו על חשבונו עם החזרתו למשכיר. / כן מתחייב השוכר לסייד את המושכר בתום תקופת השכירות. {סיוד}",,,,,,
תחזוקת המושכר,השוכר יפצה את המשכיר במלוא הנזקים שייגרמו לו כתוצאה מהפרת תנאי מתנאי סעיף זה או כל תנאי אחר מהסכם זה.,,,,,,
תחזוקת המושכר,"המשכיר מצדו יהיה חייב לתקן פגמים ו/או קלקולים, שאינם תוצר של שימוש ובלאי סביר, אשר יתהוו במשך תקופת השכירות, והחובה לתקנם תהא עליו כמשכיר תוך זמן סביר מיום דרישת השוכר, כגון: נזילות בצנרת, תקלות במים דלוחים, בעיות במערכת החשמל המרכזית וכיו""ב.",,,,,,
תחזוקת המושכר,"אם ייגרמו לדירה נזקים שעל המשכיר לתקנם והמצריכים תיקון מיידי, והמשכיר לא יעשה כן תוך {מספר-שעות-ההמתנה-עד-לתיקון-הליקויים-בדירה-עי-המשכיר} שעות – יהיה השוכר רשאי לתקן על חשבונו, ועל המשכיר יהיה להחזיר לשוכר את הוצאותיו בגין קבלות שימציא השוכר למשכיר. היה  ולא יחזיר המשכיר לשוכר את הוצאות התיקונים הנ""ל, יהיה השוכר רשאי לקזזן מדמי השכירות עד כדי סך נזקיו הקצובים לאחר שהמציא למשכיר חשבוניות מס מאיש מקצוע.  ",,,,,,
תחזוקת המושכר,"השוכר יהיה אחראי על חשבונו לפצות צד ג' כלשהו על כל הנזקים שהוא עלול לגרום לו בגין השימוש במושכר, בין אם נגרם הנזק בו או בין מחוצה לו. כן על השוכר להחזיר למשכיר כל סכום שייתבע על ידו בקשר לנזקים כאמור, והכל אם נזקים אלו ייגרמו כתוצאה מרשלנותו של השוכר.",,,,,,
תחזוקת המושכר,"השוכר מתחייב לפנות את המושכר בתום התקופה הקצובה ולהחזיר את החזקה הבלעדית בה לידי המשכיר או בא כוחו, לרבות כל מפתח שניתן לו על ידי המשכיר.",,,,,,
תחזוקת המושכר,"השוכר מצהיר כי ראה ובדק את המושכר ומצא אותו במצב מעולה, תקין ומתאים לדרישותיו, והשוכר מוותר על כל טענת אי התאמה או טענה בקשר למושכר או בגין פגם ו/או מום גלוי ו/או נסתר ו/או נעלם.",,,,,,
תחזוקת המושכר,"המשכיר מצהיר כי היה והשוכר ימצא פגם, העולה כדי אי התאמה, במהלך תקופת השכירות, על המשכיר לתקן את המושכר בהתאם, ובכלל זה הזמנת איש מקצוע על חשבון המשכיר במידת הצורך. 
 
הפגמים המוסכמים על ידי הצדדים כאי התאמה הם: {הפגמים-המוסכמים}.
",,,,,,
תחזוקת המושכר,"השוכר מתחייב לשמור על ניקיון המושכר וסביבותיו, על השקט ועל יחסי שכנות טובה עם השכנים בבניין. כן השוכר רשאי לגדל חיות מחמד במושכר בתנאי שגידולם לא יוביל לסטייה מחובתו לשמור על ניקיון המושכר וסביבותיו, על השקט ועל יחסי שכנות טובה עם השכנים בבניין. ",,,,,,
תחזוקת המושכר,"השוכר מתחייב שלא לעשות כל שינוי במושכר או בסביבתו, בין בתוך המושכר ובין מחוצה לו ובכל הקשור אליו או מחובר אליו וכן לא להוציא ולהעביר שום דבר מהחפצים ללא הסכמת המשכיר בכתב.",,,,,,
תחזוקת המושכר,"היה והמשכיר הודיע לשוכר בהודעה בכתב כי יש באפשרותו לבצע שינויים במושכר, עליו לפרט את השינויים המוסכמים עליו במסגרת הודעתו כאמור.",,,,,,
תחזוקת המושכר,"היה והשוכר ביצע שינויים במושכר בהסכמת המשכיר כאמור, הברירה בידו אם להשיב את מצב המושכר לקדמותו עם תום תקופת השכירות ואם לאו.",,,,,,
תחזוקת המושכר,"השוכר מתחייב לאפשר למשכיר או לבא כוחו להיכנס למושכר בכל זמן סביר, וככל האפשר, לאחר תיאום מראש למטרת פיקוח ו/או לשם ביצוע תיקונים ו/או להצגת המושכר בפני אחר. זמן סביר ייחשב כ-{הזמן-הקצוב-למתן-הודעה-מוקדמת-לכניסת-המשכיר} שעות טרם מועד הכניסה למושכר לצורך הסכם זה.",,,,,,
תחזוקת המושכר,{חיות},,,,,,
תחזוקת המושכר,{עישון},,,,,,
תשלומי חובה ומסים,השוכר מתחייב לעמוד בתשלומי החובה והמסים הבאים: {תשלומי-חובה-ומיסים}.,,,,,,
תשלומי חובה ומסים,"היה והשוכר לא יעמוד בתשלומים אלה, ובעקבות זאת נודע למשכיר אודות אי התשלום כאמור, תהא באפשרות המשכיר לבטל את הסכם זה בהודעה בכתב לשוכר בתוך 30 ימים מהיום שנודע לו על כך. יובהר כי אין במימוש אפשרות זו בידי המשכיר כדי לפגוע או לגרוע מזכותו לתבוע כל תרופה אחרת על פי דין.",,,,,,
הודעה מוקדמת,"היה והשוכר חפץ בסיום הסכם זה, עליו להודיע למשכיר על סיום תקופת השכירות או תקופת האופציה, לפי העניין, בתוך {מועד-מתן-הודעה-מוקדמת-מצד-השוכר-לסיום-ההסכם} טרם סיומה. ",,,,,,
פיצוי מוסכם,"אם השוכר לא יפנה את הדירה בתום תקופת השכירות או האופציה, לפי העניין, לרבות בתום תקופת ההודעה המוקדמת, יהא עליו לשלם למשכיר סך של {סכום-פיצוי-יומי} לכל יום של פיגור בפינוי הדירה והחזרתה למשכיר, וזאת מבלי לפגוע בזכויות המשכיר לכל סעד משפטי אחר ו/או לתביעת דמי נזיקין גבוהים יותר. הסכום הנ""ל ישולם בשקלים ישראליים לפי השער היציג של הדולר של ארה""ב המפורסם במועד התשלום.",,,,,,
הפרות יסודיות,"לא קיים השוכר תנאי מתנאי הסכם זה או התחייבות כלשהי המוטלת עליו על פי הסכם זה או לא קיים אותם במועד, זכאי המשכיר או בא כוחו, מבלי לפגוע בכל זכות שבידם, לבטל את ההסכם ולתבוע פינוי מיידי של המושכר בהיות תנאי זה הפרה יסודית של הסכם זה.",,,,,,
הפרות יסודיות,"השוכר ייתן שיק בטחון ע""ס {נקוב בסכום לקביעת סכום שיק הביטחון לכיסוי עלויות המיטלטלין של המשכיר במושכר} ביום חתימת ההסכם ויחתמו בפני המשכיר או בא כוחו שני ישראלים בשטר התחייבות לפצות המשכיר במידה והשוכר לא יעמוד בתשלומי השכירות והנלווה לכך.",,,,,,
כללי,כתובות הצדדים לצורך הסכם זה פורטו בראשית הסכם זה.,,,,,,
כללי,"כל הודעה שתשלח לצד כל שהוא לפי כתובתו הנ""ל תחשב כנמסר לתעודתה בתום 72 שעות מיום הפקדתה בסניף בית הדואר.",,,,,,
כללי,"מבלי לפגוע בשאר הוראות הסכם זה ולמען הסר כל ספק, השוכר משחרר את המשכיר מכל אחריות מכל סוג שהיא לאובדן ו/או לנזקים מכל סוג שהם העלולים להיגרם לחפציו של השוכר והנמצאים בין בתוך הדירה ובין מחוצה לה.",,,,,,
חתימה,"ולראיה באו הצדדים על החתום,",,,,,,
חתימה," 
                             __________________                           __________________
                              {שם-המשכיר}                                           {שם-השוכר}",,,,,,
נספח א׳,נספח א': רשימת המיטלטלין של השוכר,title,,,,,
נספח א׳,"בהתאם להוראות ההסכם, השוכר מצהיר בזאת כי כלל המיטלטלין שלהלן נמצאים בבעלותו ויימצאו במושכר במהלך כל תקופת השכירות או האופציה, לפי העניין: 
{רשימה-המיטלטלין-של-השוכר}
",,,,,,
נספח א׳,ולראיה באו הצדדים על החתום:,,,,,,
נספח א׳," 
                             __________________                           __________________
                              {שם-המשכיר}                                           {שם-השוכר}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
פרטים,"שלום, {שם-פרטי} ממשפחת {שם-משפחה} , שלומך: {מצב-רוח}",,,,,,
פרטים,שם שוב {שם-פרטי} שם משפחה שוב {שם-משפחה},,,,,,
פרטים,ועכשיו ברשמיות - {קידומת} {שם חברה},א,מר,ב,גברת,ג,ח.פ
תאריך,תאריך א : {תאריך-א} -- תאריך ב : {תאריך-ב} ומה שביניהם : {הפרש-א-ב} ימים,תאריך-א,תאריך-ב,,,,
חיות,{כלבים},I like!,I don't like!,,,,
חיות,השם של הכלב הוא {שם-כלב} {חבר},חבר הכי טוב,סתם כלב,,,,
